track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_name,popularity,album_name,album_type,release_date,track_url
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,The Weeknd,89.0,Starboy,album,2016-11-25,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,The Weeknd,74.0,Die For You (Remix),single,2023-02-24,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,Sky Rompiendo,74.0,El Cielo,single,2023-06-02,https://open.spotify.com/track/4PA1wK0leCjmRZlP5dQ8Lv
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,David Guetta,80.0,Baby Don't Hurt Me,single,2023-04-06,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,KAROL G,82.0,MAÑANA SERÁ BONITO,album,2023-02-24,https://open.spotify.com/track/505v13epFXodT9fVAJ6h8k
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440.0,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,Peggy Gou,77.0,(It Goes Like) Nanana [Edit],single,2023-06-15,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,"3,394",19,0,123,E,Minor,45,13,54,70,0,9,4,Tom Odell,87.0,Long Way Down (Deluxe),album,2013-06-24,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,0,171,C#,Major,50,38,80,0,0,9,7,The Weeknd,88.0,After Hours,album,2020-03-20,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,0,171,C#,Major,50,38,80,0,0,9,7,The Weeknd,88.0,After Hours,album,2020-03-20,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,Kali Uchis,75.0,Moonlight,single,2023-02-24,https://open.spotify.com/track/2i2gDpKKWjvnRTOZRhaPh2
